ID,designation_header,strain_number_header,is_type_strain_header,species,genus
169755,"S74, aMCA-6-a-A","DSM 106041",0,"Weizmannia agrestimuris",Weizmannia
654,"609, NRS-609","DSM 1, CCM 2013, NCIB 9365, NCTC 10334, WDCM 00002, CCUG 7417, ATCC 7050, IAM 1115, NRS 609, JCM 2257, BCRC 10606, CECT 12, CFBP 4225, CIP 66.25, CN 2202, HAMBI 1931, IAM 12463, IFO 12583, IMET 10993, KCTC 3625, LMG 6326, NBRC 12583, NCCB 77025, NCFB 1761, NCIMB 9365, NRIC 1005, NRRL NRS-609, VKM B-497, VTT E-98150, NCDO 1761",1,"Heyndrickxia coagulans",Heyndrickxia
645,U,"DSM 2350, NRRL NRS-2012",0,"Heyndrickxia coagulans",Heyndrickxia
646,"200 of Hammer","DSM 2356, NCIB 8523",0,"Heyndrickxia coagulans",Heyndrickxia
647,,"DSM 2308, ATCC 12245, NCIB 8870, NCA 3084",0,"Heyndrickxia coagulans",Heyndrickxia
648,784,"DSM 2311, ATCC 10545, CCM 1082, NCIB 8041, NRS 784, CIP 52.63, NCDO 725, NCIMB 8041",0,"Heyndrickxia coagulans",Heyndrickxia
649,"43 P, 770","DSM 2312, ATCC 8038, NCIB 8080, CIP 52.64, NCIMB 8080",0,"Heyndrickxia coagulans",Heyndrickxia
650,M-39,"DSM 2314, ATCC 23498, NCIB 10276, JCM 20478, IAM 12320, NCIMB 10276",0,"Heyndrickxia coagulans",Heyndrickxia
651,"78G, T 27","DSM 2383, ATCC 11014",0,"Heyndrickxia coagulans",Heyndrickxia
652,C,"DSM 2384, ATCC 11369",0,"Heyndrickxia coagulans",Heyndrickxia
653,,"DSM 2385, ATCC 15949",0,"Heyndrickxia coagulans",Heyndrickxia
655,ES-116,"DSM 30760",0,"Heyndrickxia coagulans",Heyndrickxia
163252,,"JCM 2258, IAM 1194",0,"Heyndrickxia coagulans",Heyndrickxia
1247,,"DSM 18134, Gsoil 114, KCTC 13944",1,"Heyndrickxia ginsengihumi",Heyndrickxia
1248,ES2-6a1,"DSM 30593",0,"Heyndrickxia ginsengihumi",Heyndrickxia
13839,HY34,"DSM 24838, CGMCC 1.6105, JCM 14017, CIP 109725",1,"Wenxinia marina",Wenxinia
131286,S-22,"DSM 100565, CECT 8456, KCTC 32548",1,"Wenxinia saemankumensis",Wenxinia
132979,MN1-138,"DSM 105044, KCTC 42780, NBRC 111505",1,"Wenyingzhuangia aestuarii",Wenyingzhuangia
132995,CZ1127,"DSM 100787, CCTCC AB 2015089, KCTC 42864",1,"Wenyingzhuangia fucanilytica",Wenyingzhuangia
168680,N5DB13-4,"NBRC 110602, KCTC 42246",1,"Wenyingzhuangia gracilariae",Wenyingzhuangia
131383,H-MN17,"DSM 101599, KCTC 42245, NBRC 110601",1,"Wenyingzhuangia heitensis",Wenyingzhuangia
130334,D1,"DSM 100572, CGMCC 1.12162, JCM 18494",1,"Wenyingzhuangia marina",Wenyingzhuangia
158247,KLE1008,"DSM 22692",0,"Wenyingzhuangia sp.",Wenyingzhuangia
132250,,"DSM 103414, CGMCC 1.14936, KCTC 42284, MCCC 1K00261",1,"Wenzhouxiangella marina",Wenzhouxiangella
133229,XDB06,"KCTC 52041, MCCC 1K02285",1,"Wenzhouxiangella sediminis",Wenzhouxiangella
