ID,designation_header,strain_number_header,is_type_strain_header,species,genus
169532,"P1B, HDB01","DSM 108419",0,"Segatella copri",Segatella
169533,"P1C, HDC01","DSM 108556",0,"Segatella copri",Segatella
169534,"P4D, HDD04","DSM 108558",0,"Segatella copri",Segatella
169535,HDA04,"DSM 111805",0,"Segatella copri",Segatella
169536,HDD12,"DSM 111806",0,"Segatella copri",Segatella
169537,HDE06,"DSM 111807",0,"Segatella copri",Segatella
169538,RPA01,"DSM 111808",0,"Segatella copri",Segatella
169539,RHA03,"DSM 111828",0,"Segatella copri",Segatella
169540,HDD05,"DSM 112105",0,"Segatella copri",Segatella
159495,LKV-178-WT-2C,"DSM 108494",0,"Segatella copri",Segatella
161362,,"JCM 13465",0,"Segatella copri",Segatella
161363,,"JCM 13466",0,"Segatella copri",Segatella
161364,,"JCM 13467",0,"Segatella copri",Segatella
161365,,"JCM 13468",0,"Segatella copri",Segatella
164500,,"JCM 33280, BCRC 81118",1,"Segatella hominis",Segatella
12557,W1609,"DSM 19339, CCUG 54766, JCM 15638",1,"Segatella maculosa",Segatella
12550,,"JCM 12252, DSM 18711, ATCC 33573, CCUG 15405, CIP 104480, AIP 10115, JCM 8540, NCTC 13071, VPI D1A-1A",1,"Segatella oris",Segatella
154665,,"CCUG 54769, JCM 14966, ATCC 43324, NCTC 12747, CCUG 20177, CIP 104477, JCM 13451, NCTC 11871",1,"Segatella oulorum",Segatella
12558,KB7,"DSM 17968, JCM 13650, KCTC 15702",1,"Segatella paludivivens",Segatella
12559,A42,"DSM 17969, JCM 13651",0,"Segatella paludivivens",Segatella
12538,EPSA11,"CCUG 51934, DSM 15606, JCM 12084, KCTC 15077",1,"Segatella salivae",Segatella
166168,GL14,"CGMCC 1.13874, NBRC 113853",1,"Stutzerimonas nitrititolerans",Stutzerimonas
166254,A31/70,"CECT 9981, CCUG 73638",1,"Stutzerimonas nosocomialis",Stutzerimonas
12997,DNSP21,"DSM 6082, LMG 18520, CIP 107691, CCUG 44594",0,"Stutzerimonas frequens",Stutzerimonas
12998,19SMN4,"DSM 6084, LMG 18521, CIP 107690, CCUG 44593",0,"Stutzerimonas decontaminans",Stutzerimonas
13014,419,"DSM 50238, ATCC 17832, ICPB 2737-419, CCUG 44596 A, LMG 14935, CIP 107692, CCUG 44596",0,"Stutzerimonas degradans",Stutzerimonas
158577,MA-69,"CCTCC AB 2013065, KCTC 42447, JCM 19137",1,"Stutzerimonas tarimensis",Stutzerimonas
164374,T3,"JCM 32830, ACCC 60124",1,"Stutzerimonas urumqiensis",Stutzerimonas
130579,NEAU-ST5-21,"DSM 27559, ACCC 06362",0,"Stutzerimonas zhaodongensis",Stutzerimonas
143565,,"CCUG 20177, JCM 13451, NCTC 11871",0,"Segatella oulorum",Segatella
168276,"SYSU D00434","KCTC 82276, MCCC 1K04975, CGMCC 1.18624",1,"Sabulibacter ruber",Sabulibacter
158549,HMF6543,"KCTC 52401, NBRC 112674, HME 6543",1,"Wocania arenilitoris",Wocania
156647,,"CCUG 63831, KCTC 32326",1,"Flaviramulus multivorans",Flaviramulus
133353,CAG32,"NCIMB 15010, DSM 100909",1,"Saccharedens versatilis",Saccharedens
170898,ATSA2,"KCTC 43072, CCTCC AB 2019223",1,"Saccharibacillus brassicae",Saccharibacillus
140934,WLJ055,"CGMCC 1.15276, KCTC 33693",1,"Saccharibacillus deserti",Saccharibacillus
133027,JM-1350,"DSM 103533, CCM 8702, LMG 29710, CIP 111111",1,"Saccharibacillus endophyticus",Saccharibacillus
11668,HR1,"DSM 22868, CGMCC 1.6964, JCM 14865, KCTC 13182",1,"Saccharibacillus kuerlensis",Saccharibacillus
133208,H6,"CCTCC AB 2016001, JCM 31172",1,"Saccharibacillus qingshengii",Saccharibacillus
11667,GR21,"DSM 19268, LMG 24085",1,"Saccharibacillus sacchari",Saccharibacillus
63,S-877,"DSM 15669, AJ 13480, JCM 12116",1,"Saccharibacter floricola",Saccharibacter
131290,SS12,"DSM 27040, CICC 10590",1,"Saccharicrinis carchari",Saccharicrinis
3773,,"DSM 9555, ATCC 19072, IAM 14302, NCIMB 2218, JCM 21142, CECT 7602, CIP 104805, IFO 15936, LMG 1338, NBRC 15936",1,"Saccharicrinis fermentans",Saccharicrinis
168175,CCB-QB4,"JCM 33513, CCB-MBL 5008",1,"Saccharobesus litoralis",Saccharobesus
1390,657,"DSM 4749, ATCC 43125, CCM 3586",1,"Saccharococcus thermophilus",Saccharococcus
161441,,"JCM 14006, CGMCC 1.5064",1,"Saccharofermentans acetigenes",Saccharofermentans
158656,HS-3,"JCM 32116, InaCC Ar80",1,"Saccharolobus caldissimus",Saccharolobus
